episode,symbol,steps,total_reward,mean_loss,epsilon,replay_size,learning_steps,target_updates,hold_actions,buy_actions,sell_actions,executed_trades,final_portfolio_value,max_drawdown,episode_seconds
1,GVT&D,872,-77.9278122835985,,1.0,872,0,0,314,265,293,491,929969.0701408689,-0.18379843088466,0.8386388999642804
2,HBLENGINE,965,-78.17031402411892,0.0014526142461891098,0.05,1837,838,3,169,567,229,438,999761.0155058419,-0.22780099909942683,10.769235100015067
3,CREDITACC,65,-0.4522681433170249,0.0005132768795682261,0.05,1902,903,3,6,54,5,9,1092950.81577388,-0.03853095328634628,0.7700539000798017
4,MRPL,965,-44.023452930403465,0.0005782357377538197,0.05,2867,1868,7,84,777,104,285,1109898.890421853,-0.17421758500579385,11.262228399980813
5,IDEA,965,-142.73045491543263,0.000723935122127582,0.05,3832,2833,11,116,676,173,368,784995.302735561,-0.2930851979511093,11.483761899988167
6,CGCL,965,-64.65006898586866,0.0010007361933309102,0.05,4797,3798,15,177,644,144,359,1637552.905943857,-0.17545201199316643,11.370144999935292
7,HINDCOPPER,965,-55.380696390152465,0.0010134109258808563,0.05,5762,4763,19,433,473,59,186,997578.426550857,-0.17029062074297505,11.30872729991097
8,BHARATFORG,965,-54.8142334965663,0.0009437323944194368,0.05,6727,5728,22,565,360,40,93,970950.3087388007,-0.13880691268262801,11.397639599977992
9,BHARATFORG,965,-56.603346971468554,0.0008776111476403212,0.05,7692,6693,26,680,255,30,100,1001142.9344623112,-0.1424964306066257,11.285077500040643
10,CREDITACC,65,-0.9205474463933944,0.0011494793942592178,0.05,7757,6758,27,28,33,4,13,1076278.6881942293,-0.06056990676292846,0.762154099997133
11,MRPL,965,-45.00556112755402,0.0008968915317118303,0.05,8722,7723,30,594,335,36,113,1135355.117027127,-0.1761456847622707,11.349307299940847
12,CGCL,965,-56.8406872229449,0.0008750599003433119,0.05,9687,8688,34,375,497,93,286,1481087.8285211448,-0.14892644143923184,11.435252700001001
13,HBLENGINE,965,-77.36666971130342,0.0009009108714303339,0.05,10652,9653,38,617,295,53,170,1016851.2053552562,-0.2365787977505129,11.278380100033246
14,HINDCOPPER,965,-60.37483483850574,0.0008789015544211694,0.05,11617,10618,42,602,312,51,171,988325.9085464523,-0.1739991998876798,11.423849200014956
15,GVT&D,872,-83.30521001629896,0.0008268079198037121,0.05,12489,11490,45,412,418,42,169,911637.5383040012,-0.20228203922343327,10.19112730002962
16,IDEA,965,-171.3780701137032,0.0009761045126689578,0.05,13454,12455,49,627,281,57,169,700998.6486565374,-0.3692846597605562,11.350284100044519
17,HINDCOPPER,965,-60.21681650711896,0.0011402845441501278,0.05,14419,13420,53,482,393,90,216,970946.9228598097,-0.17930099332260566,11.656348400050774
18,MRPL,965,-40.21631282609287,0.0011073968660658216,0.05,15384,14385,57,488,389,88,216,1161331.5581420087,-0.16973271621196737,11.278064699959941
19,CREDITACC,65,-0.44661412246460575,0.0011068042461724523,0.05,15449,14450,57,26,32,7,15,1075515.4874820558,-0.04095020306805357,0.7605778001016006
20,HBLENGINE,965,-87.50149429012158,0.0010740293670021036,0.05,16414,15415,61,471,334,160,316,986367.679143406,-0.23440128875077312,11.314293999923393
21,CGCL,965,-53.11646082905902,0.0012468229676777776,0.05,17379,16380,65,354,446,165,324,1502825.271468016,-0.15682191412053845,11.401185199967586
22,IDEA,965,-153.85626924300183,0.0011547319879369336,0.05,18344,17345,69,525,372,68,191,729257.4693202737,-0.3464659825442713,11.27068020007573
23,GVT&D,872,-79.26945798671446,0.0012600088050205007,0.05,19216,18217,72,372,365,135,277,933698.3881580653,-0.1945061721688449,10.248157300055027
24,BHARATFORG,965,-49.27595166039498,0.0012455714656911076,0.05,20181,19182,76,694,182,89,161,994473.7411707157,-0.12802944944374123,11.435543600004166
25,MRPL,965,-47.18379611608051,0.0012098364172192107,0.05,21146,20147,80,563,289,113,217,1108584.837429821,-0.17037076516277633,11.349493499961682
26,BHARATFORG,965,-51.42405764037897,0.0012147648708467791,0.05,22111,21112,84,764,143,58,122,1019003.0602803961,-0.1350240341389506,11.809422899968922
27,HBLENGINE,965,-81.96994496076563,0.0012434279261436796,0.05,23076,22077,88,486,390,89,234,1021540.593583032,-0.23761520615111734,11.318804899929091
28,CREDITACC,65,-0.7683690799748535,0.0016948332898139666,0.05,23141,22142,88,33,29,3,12,1076859.7883297883,-0.05272428068771353,0.7675005999626592
29,GVT&D,872,-63.688649046002936,0.0011998872479801429,0.05,24013,23014,92,473,220,179,300,953902.8376248329,-0.14094447702543805,10.229597899946384
30,HINDCOPPER,965,-60.06725472045912,0.0011234325842951168,0.05,24978,23979,95,528,355,82,203,961538.6944563903,-0.18803588453577466,11.267537200008519
31,IDEA,965,-112.02205632575543,0.0010941866348579603,0.05,25943,24944,99,644,202,119,201,793137.1070788169,-0.2653574211573597,11.27473619999364
32,CGCL,965,-52.29154853623702,0.0013235251729888117,0.05,26908,25909,103,295,540,130,322,1488303.9659994282,-0.13133850446097248,11.567694200086407
33,MRPL,965,-43.77364737959498,0.001235151623039135,0.05,27873,26874,107,606,272,87,211,1144613.1765597886,-0.1623854270388034,11.506743300007656
34,CGCL,965,-54.01991529085025,0.001193915430270618,0.05,28838,27839,111,290,526,149,360,1479444.9434727766,-0.1568671087038329,11.686654700082727
35,HINDCOPPER,965,-58.91062581726717,0.00117827074187856,0.05,29803,28804,115,605,268,92,206,977956.1080878637,-0.17695646432071258,11.601732400013134
36,HBLENGINE,965,-100.2996953784959,0.0011717128043227051,0.05,30768,29769,119,437,365,163,321,975039.4959188212,-0.20578569789575957,11.951018500025384
37,BHARATFORG,965,-39.3297313850552,0.0011347953437639332,0.05,31733,30734,122,741,124,100,164,1007848.1378126214,-0.10219996523091747,11.77271330007352
38,IDEA,965,-120.88425540438845,0.0010879125982013874,0.05,32698,31699,126,625,192,148,243,821482.2068925288,-0.2695914167223399,12.85583899996709
39,GVT&D,872,-75.9143667428752,0.0011392246458253293,0.05,33570,32571,130,402,377,93,239,930656.8038781132,-0.18986914662650128,11.632696699933149
40,CREDITACC,65,-0.6629391971852578,0.0007830244694979719,0.05,33635,32636,130,26,24,15,33,1057635.9124999847,-0.04945896590634156,0.8406010000035167
41,CREDITACC,65,-0.45309821402768674,0.0009853819062790046,0.05,33700,32701,130,29,26,10,22,1073661.1901332396,-0.041699886824894276,0.8576699999393895
42,HINDCOPPER,965,-57.76438186549772,0.001118236576228697,0.05,34665,33666,134,628,212,125,234,1023545.4244072877,-0.1355082165143203,12.364939299994148
43,BHARATFORG,965,-51.433984475457706,0.0011608900737869095,0.05,35630,34631,138,708,139,118,184,1012413.0213465267,-0.12766296891784715,13.703330100048333
44,MRPL,965,-42.00902087117198,0.001057597189879894,0.05,36595,35596,142,613,194,158,257,1077241.2707257164,-0.13229352045533854,12.763347400003113
45,HBLENGINE,965,-75.16360471737451,0.001123006318435266,0.05,37560,36561,146,410,235,320,442,1003563.4041898228,-0.17268973751070082,12.141117300023325
46,CGCL,965,-58.14562063872807,0.001103988337605574,0.05,38525,37526,150,323,413,229,442,1369285.2414599028,-0.1460461376992056,11.420029600034468
47,IDEA,965,-111.7255851442275,0.0011000448523012082,0.05,39490,38491,153,581,187,197,305,774388.6619819339,-0.287124120606437,11.43466350005474
48,GVT&D,872,-61.46872253142203,0.0011117709924425788,0.05,40362,39363,157,445,247,180,301,923628.1590438538,-0.14325294197246632,10.288439100026153
49,HINDCOPPER,965,-50.395339925476364,0.0010808376467502025,0.05,41327,40328,161,527,267,171,306,924933.8423512434,-0.18002705722532034,11.416437899926677
50,GVT&D,872,-65.95509001431009,0.0010361904135548483,0.05,42199,41200,164,438,201,233,360,938765.396800676,-0.17070879656153573,10.406997799989767
51,IDEA,965,-104.58360971574506,0.001096383624057493,0.05,43164,42165,168,570,206,189,316,813553.1492270768,-0.25890062842429623,11.409076900104992
52,CREDITACC,65,-0.2881966593379098,0.0010573549612532729,0.05,43229,42230,168,26,21,18,30,1079559.6739786377,-0.03277197384964011,0.9002767000347376
53,MRPL,965,-42.19951115650744,0.0011514903428913648,0.05,44194,43195,172,606,227,132,243,1148717.8813943814,-0.14507297594509874,11.561599199892953
54,CGCL,965,-42.36541223635733,0.0010367817141072235,0.05,45159,44160,176,300,391,274,489,1491132.4838638536,-0.11670879431788321,11.433602000004612
55,HBLENGINE,965,-71.08312301485438,0.0011210409026843897,0.05,46124,45125,180,443,199,323,432,1021738.850947048,-0.20428995747894874,11.416007600026205
56,BHARATFORG,965,-47.85547402975886,0.0010306208352244656,0.05,47089,46090,184,762,115,88,137,981597.5442441098,-0.12731089124843006,11.372959799948148
57,BHARATFORG,965,-43.89707861665548,0.0011271739280553428,0.05,48054,47055,188,727,96,142,194,985624.3956519171,-0.11349534978462386,11.452081499970518
58,IDEA,965,-120.02837506722749,0.00104962703271243,0.05,49019,48020,192,532,174,259,365,789410.354970394,-0.2892493506896131,11.46031049999874
59,HBLENGINE,965,-87.15168926825396,0.0010883634235019858,0.05,49984,48985,195,409,233,323,475,983555.0705203813,-0.17390122768127841,11.353566600009799
60,HINDCOPPER,965,-49.323700993261866,0.0010409345476371792,0.05,50000,49950,199,596,236,133,226,1002776.6935999028,-0.14028962020496671,11.70157759997528
61,CGCL,965,-59.55368124826163,0.001176628362208875,0.05,50000,50915,203,369,373,223,412,1264492.5005871553,-0.1421168088266068,11.405993100022897
62,CREDITACC,65,-0.6550655433060965,0.0008847004425031348,0.05,50000,50980,203,22,18,25,41,1047728.100252716,-0.05187644328781136,0.7562189999734983
63,MRPL,965,-25.02011750774028,0.0011109103859158552,0.05,50000,51945,207,530,166,269,368,1120696.7886178177,-0.09118735920124041,11.344720400054939
64,GVT&D,872,-82.55735969074546,0.000983767206914784,0.05,50000,52817,211,430,142,300,386,874955.3912856592,-0.1693808963475719,10.318687799968757
65,MRPL,965,-33.82203547127033,0.001054831325930635,0.05,50000,53782,215,555,137,273,347,1040117.6487893837,-0.14974228763752487,11.60601719992701
66,GVT&D,872,-60.394098497434655,0.0009497245771002981,0.05,50000,54654,218,365,128,379,465,962559.6664393003,-0.1429376934922512,10.328221500036307
67,HBLENGINE,965,-49.09635481040164,0.0009336093197265457,0.05,50000,55619,222,313,181,471,593,1107739.9433891422,-0.11957935757788558,11.414453199948184
68,CGCL,965,-44.49675986912007,0.0009056717900190155,0.05,50000,56584,226,259,280,426,600,1469442.543788883,-0.14436055931972405,11.431815200019628
69,IDEA,965,-102.99062766048289,0.0010624472283633966,0.05,50000,57549,230,454,124,387,481,839115.1180064897,-0.20486999157697072,11.492305799969472
70,CREDITACC,65,-0.3500702015614834,0.0008495240727475343,0.05,50000,57614,230,23,17,25,38,1069127.6017946624,-0.03669009136300674,0.766974400030449
71,BHARATFORG,965,-29.87300984013597,0.0009770230455577393,0.05,50000,58579,234,619,74,272,317,1034530.2522313846,-0.07634889185955772,11.365215900004841
72,HINDCOPPER,965,-62.13003392666103,0.0009559774106619349,0.05,50000,59544,238,349,170,446,560,997062.516221343,-0.13894331660198425,11.515892599942163
73,HBLENGINE,965,-72.1584459033463,0.0010969687092788711,0.05,50000,60509,242,294,166,505,602,889800.4408217564,-0.18424263226107854,11.40588660002686
74,GVT&D,872,-76.07630027610267,0.0009662726632820831,0.05,50000,61381,245,333,151,388,492,871919.1147185515,-0.19587021322781442,10.309281099936925
75,BHARATFORG,965,-35.16136082197708,0.0009347689664956433,0.05,50000,62346,249,695,86,184,229,1043816.700877167,-0.09725496157448493,11.414561799960211
76,IDEA,965,-109.82277897445275,0.0008876988559013107,0.05,50000,63311,253,472,172,321,425,762649.8951746727,-0.2755665987308773,11.430469800019637
77,HINDCOPPER,965,-63.23563708434208,0.000888581260169586,0.05,50000,64276,257,513,160,292,368,967730.5763216019,-0.13301201515000713,11.39934780006297
78,CREDITACC,65,-0.6518437366748108,0.0008097769119418584,0.05,50000,64341,257,27,24,14,34,1061097.2210798035,-0.049966547089599654,0.7557817999040708
79,MRPL,965,-46.51270462635031,0.0008922019930269299,0.05,50000,65306,261,501,187,277,395,1068060.61270255,-0.15664769466103914,11.370381399989128
80,CGCL,965,-34.74907408719661,0.000828469692339754,0.05,50000,66271,265,260,256,449,608,1592182.5750809344,-0.10006338668383044,11.379112700000405
81,CGCL,965,-39.37914764231386,0.0009441801316075877,0.05,50000,67236,268,269,257,439,601,1417046.00796906,-0.11310660709162569,11.457354800077155
82,GVT&D,872,-51.15199405907613,0.0008720957967193707,0.05,50000,68108,272,432,157,283,362,941839.4523406836,-0.15191209455141888,10.373703900026157
83,BHARATFORG,965,-52.61622762818945,0.0008114014041955086,0.05,50000,69073,276,660,116,189,260,970898.2036195068,-0.11643725561652457,11.4104120999109
84,CREDITACC,65,-0.27321872814043996,0.0008136286037580038,0.05,50000,69138,276,19,21,25,39,1073572.3145284578,-0.03686908566107182,0.7700652000494301
85,HBLENGINE,965,-83.50544489648864,0.0007655168650068651,0.05,50000,70103,280,230,224,511,665,933696.1203600772,-0.21361493798742964,11.371813599951565
86,IDEA,965,-105.45151920573525,0.0008351766499521819,0.05,50000,71068,284,496,150,319,408,822539.3511385162,-0.25322035196983467,11.43788380001206
87,HINDCOPPER,965,-63.679513983819916,0.0009007240543196249,0.05,50000,72033,288,473,223,269,400,948643.4162091442,-0.17000311150301917,11.430343499989249
88,MRPL,965,-32.53290550421984,0.000871385215845567,0.05,50000,72998,291,582,140,243,342,1168607.7661882977,-0.11878932879102279,11.374509799992666
89,CREDITACC,65,-0.44569012612491227,0.0008456398204613764,0.05,50000,73063,292,27,22,16,33,1062028.2770280153,-0.04122227938519997,0.7694412000710145
90,MRPL,965,-46.23592442560983,0.000860502110016677,0.05,50000,74028,296,511,136,318,396,988746.0965591817,-0.14602977193287625,11.44197719998192
91,GVT&D,872,-71.85861602522907,0.0008228808594406999,0.05,50000,74900,299,377,128,367,471,876366.8124655607,-0.18780560556980108,10.29458850005176
92,HBLENGINE,965,-73.09789149290097,0.0008131568570871031,0.05,50000,75865,303,393,237,335,454,1011277.1015487548,-0.17376939075979764,11.49824940005783
93,CGCL,965,-40.25079036006711,0.0008507034799248135,0.05,50000,76830,307,300,265,400,514,1536864.0661238933,-0.12064294772915007,11.46025899995584
94,BHARATFORG,965,-35.594279390517784,0.0007677071319453882,0.05,50000,77795,311,791,71,103,133,967789.120007385,-0.10273335469247112,11.379377800039947
95,IDEA,965,-142.20790764724464,0.0008098220400038112,0.05,50000,78760,315,541,157,267,360,713513.5616381656,-0.3181553407943922,11.44120739994105
96,HINDCOPPER,965,-63.91295410279803,0.0008265048418063767,0.05,50000,79725,318,594,116,255,340,897743.1435919044,-0.1501302064810388,11.400848099961877
97,BHARATFORG,965,-34.45971889529204,0.0008431816132198729,0.05,50000,80690,322,742,101,122,175,1022453.3789140936,-0.10193100156444376,11.463724100030959
98,CREDITACC,65,-0.4185105429973338,0.0009376983700069384,0.05,50000,80755,323,25,29,11,21,1084319.4417666933,-0.03731999830142222,0.7693687001010403
99,HBLENGINE,965,-73.2158317972846,0.0008571964624208769,0.05,50000,81720,326,357,215,393,528,977930.610930936,-0.1779622963121458,11.332367600058205
100,IDEA,965,-127.98210602330144,0.0007906287653103876,0.05,50000,82685,330,613,163,189,283,750013.9253675556,-0.3239330935911663,11.395822699996643
